name,price,link,discounts,product-image
SKECHERS Patike uno gen1 BG,"7.999,99 RSD",https://planetasport.rs/patike-uno-gen1-bg-403647l-cclm.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/4/0/403647l-cclm.jpg?v=1837e89a6e']
ADIDAS Cipele terrex hyperhiker low k BP,"7.199,99 RSD",https://planetasport.rs/cipele-terrex-hyperhiker-low-k-bp-hq5823p.html,"['-30%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/q/hq5823p.jpg?v=4b934728c6']
NIKE Patike court borough low recraft BG,"8.599,99 RSD",https://planetasport.rs/patike-court-borough-low-recraft-bg-dv5456-600.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/d/v/dv5456-600.jpg?v=189da5e527']
NIKE Duks k nsw club flc crew ls hbr BG,"5.299,99 RSD",https://planetasport.rs/duks-k-nsw-club-flc-crew-ls-hbr-bg-fd2992-010.html,['-20%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/f/d/fd2992-010.jpg?v=3d3dd1928c']
NIKE Kopačke jr legend 9 academy mg BPG,"8.099,99 RSD",https://planetasport.rs/kopacke-jr-legend-9-academy-mg-bpg-da1333-001.html,['-23%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/d/a/da1333-001.jpg?v=268b959dc1']
ADIDAS Patike grand court 2.0 el k GP,"4.499,99 RSD",https://planetasport.rs/patike-grand-court-2-0-el-k-gp-ig4838.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig4838.jpg?v=8281662fd9']
ADIDAS Patike cross em up select j BG,"8.399,99 RSD",https://planetasport.rs/patike-cross-em-up-select-j-bg-ie9255.html,"['-31%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/e/ie9255.jpg?v=00553d883f']
ADIDAS Cipele terrex ax2r k BPG,"7.799,99 RSD",https://planetasport.rs/cipele-terrex-ax2r-k-bg-if7514.html,"['-20%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/f/if7514.jpg?v=48b83f8fcf']
ADIDAS Cipele terrex hyperhiker low k BG,"7.199,99 RSD",https://planetasport.rs/cipele-terrex-hyperhiker-low-k-bg-hq5823.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/q/hq5823.jpg?v=2bd509d750']
ADIDAS Patike tensaur sport 2.0 cf k BP,"4.499,99 RSD",https://planetasport.rs/patike-tensaur-sport-2-0-cf-k-bp-ie4232.html,"['-11%', '-41%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/e/ie4232.jpg?v=bbc79aa3fd']
